Cliente_ID,Genero,Idade,Parceiro,Dependentes,Tempo_Cliente_Meses,Tipo_Contrato,Servico_Internet,Suporte_Tecnico,Streaming,Cobranca_Sem_Papel,Metodo_Pagamento,Chamadas_Suporte_6M,Atrasos_Pagamento_12M,Valor_Mensal,Valor_Total,Satisfacao,Churn
CLI00001,Masculino,19,Não,Sim,15,Mensal,DSL,Sim,Sim,Sim,Boleto,0,4,92.89,1366.08,3,Sim
CLI00002,Masculino,63,Sim,Não,43,Bienal,Sem Internet,Não Aplicável,Não Aplicável,Não,Débito Automático,1,1,19.36,832.74,4,Não
CLI00003,Feminino,43,Não,Não,15,Mensal,DSL,Sim,Não,Sim,Boleto,1,3,95.91,1463.83,2,Não
CLI00004,Masculino,50,Não,Não,21,Anual,DSL,Não,Não,Sim,Boleto,2,2,37.29,801.59,5,Não
CLI00005,Feminino,46,Não,Não,19,Mensal,Fibra,Sim,Não,Sim,Boleto,0,3,84.17,1543.36,3,Não
CLI00006,Masculino,45,Sim,Não,50,Mensal,DSL,Não,Sim,Não,Cartão de Crédito,1,1,57.97,2850.16,5,Não
CLI00007,Masculino,21,Não,Sim,17,Anual,DSL,Não,Sim,Sim,Cartão de Crédito,3,2,79.69,1387.41,2,Não
CLI00008,Masculino,60,Não,Sim,37,Bienal,Fibra,Não,Sim,Sim,Cartão de Crédito,2,1,99.63,3627.21,5,Não
CLI00009,Masculino,75,Sim,Não,37,Mensal,DSL,Não,Não,Não,PIX,1,1,47.62,1721.6,2,Sim
CLI00010,Feminino,40,Não,Não,64,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,PIX,0,1,20.61,1291.49,4,Sim
CLI00011,Feminino,60,Sim,Não,21,Mensal,Fibra,Não,Não,Não,Boleto,0,2,84.48,1736.27,4,Não
CLI00012,Masculino,47,Sim,Não,17,Anual,DSL,Sim,Não,Sim,Boleto,1,0,57.16,958.71,1,Não
CLI00013,Feminino,58,Sim,Não,39,Mensal,Fibra,Sim,Sim,Não,Cartão de Crédito,1,0,94.9,3756.47,3,Não
CLI00014,Masculino,71,Sim,Sim,35,Mensal,Fibra,Não,Sim,Sim,Cartão de Crédito,2,1,101.51,3583.09,3,Sim
CLI00015,Feminino,28,Não,Não,40,Anual,Fibra,Não,Não,Sim,Boleto,0,3,102.32,4065.33,5,Sim
CLI00016,Feminino,57,Não,Não,28,Mensal,DSL,,Sim,Sim,PIX,0,1,67.41,1779.11,5,Não
CLI00017,Feminino,48,Não,Sim,68,Mensal,Fibra,Sim,Não,Sim,Débito Automático,0,3,93.44,6395.06,3,Não
CLI00018,Masculino,34,Não,Não,46,Mensal,Fibra,Sim,Sim,Sim,Cartão de Crédito,0,1,115.14,5086.23,4,Não
CLI00019,Feminino,22,Não,Não,44,Anual,DSL,Não,Não,Não,Débito Automático,0,1,70.35,2995.37,4,Não
CLI00020,Feminino,29,Não,Não,46,Bienal,Fibra,Sim,Sim,Sim,Débito Automático,2,2,97.2,4238.36,3,Sim
CLI00021,Masculino,53,Sim,Sim,48,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,0,1,33.09,1561.99,3,Não
CLI00022,Feminino,47,Não,Não,64,Mensal,Fibra,Sim,Sim,Não,Débito Automático,3,3,132.5,8707.55,2,Sim
CLI00023,Feminino,73,Não,Não,19,Anual,Fibra,Não,Não,Sim,Cartão de Crédito,1,0,95.71,1714.12,3,Não
